Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Intensités des émissions","République populaire démocratique de Corée","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.005"
"Intensités des émissions","République-Unie de Tanzanie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.3786"
"Intensités des émissions","Roumanie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3132"
"Intensités des émissions","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2453"
"Intensités des émissions","Rwanda","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.8534"
"Intensités des émissions","Sainte-Lucie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.0655"
"Intensités des émissions","Saint-Kitts-et-Nevis","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","13.5675"
"Intensités des émissions","Saint-Vincent-et-les Grenadines","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.6169"
"Intensités des émissions","Samoa","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.2951"
"Intensités des émissions","Sao Tomé-et-Principe","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.1115"
"Intensités des émissions","Sénégal","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.4288"
"Intensités des émissions","Serbie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3065"
"Intensités des émissions","Seychelles","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1907"
"Intensités des émissions","Sierra Leone","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","4.3114"
"Intensités des émissions","Singapour","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.0436"
"Intensités des émissions","Slovaquie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2829"
"Intensités des émissions","Slovénie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1055"
"Intensités des émissions","Somalie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.0778"
"Intensités des émissions","Soudan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.3241"
"Intensités des émissions","Soudan du Sud","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.0338"
"Intensités des émissions","Sri Lanka","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2297"
"Intensités des émissions","Suède","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.0414"
"Intensités des émissions","Suisse","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3181"
"Intensités des émissions","Suriname","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.0097"
"Intensités des émissions","Tadjikistan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.5625"
"Intensités des émissions","Tchad","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.1043"
"Intensités des émissions","Tchéquie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3609"
"Intensités des émissions","Thaïlande","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4033"
"Intensités des émissions","Timor-Leste","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.3344"
"Intensités des émissions","Togo","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","4.0837"
"Intensités des émissions","Tokélaou","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.1568"
"Intensités des émissions","Tonga","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.1319"
"Intensités des émissions","Trinité-et-Tobago","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.1143"
"Intensités des émissions","Tunisie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.0281"
"Intensités des émissions","Turkménistan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.3488"
"Intensités des émissions","Turquie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3842"
"Intensités des émissions","Tuvalu","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.425"
"Intensités des émissions","Ukraine","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2723"
"Intensités des émissions","Uruguay","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.5215"
"Intensités des émissions","Vanuatu","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.9862"
"Intensités des émissions","Venezuela (République bolivarienne du)","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.9554"
"Intensités des émissions","Viet Nam","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.0931"
"Intensités des émissions","Yémen","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.2851"
"Intensités des émissions","Zambie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.4135"
"Intensités des émissions","Zimbabwe","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4701"
